,X Avg,Y Avf
T_173217,127.0292643,37.48380395
T_174589,127.0293506,37.49287044
T_172547,127.0293627,37.48556257
T_174594,127.0293706,37.49277627
T_172550,127.0294611,37.48559135
T_174712,127.0294808,37.49429073
T_181228,127.0295508,37.51448986
T_172548,127.0295764,37.48446108
T_174710,127.0296256,37.49336638
T_181231,127.0296433,37.5144231
T_172549,127.0296881,37.48449272
T_181298,127.0297672,37.49481021
T_181297,127.0297688,37.49490838
T_172534,127.0298377,37.48907129
T_179796,127.0298748,37.4998104
T_174711,127.0298813,37.49345297
T_172537,127.0298895,37.48894193
T_181732,127.030039,37.50623146
T_174989,127.0300531,37.49245513
T_181376,127.0300647,37.51519524
T_181735,127.0301004,37.50608788
T_179203,127.030159,37.51385734
T_179415,127.0302052,37.51373463
T_181377,127.0302224,37.51523169
T_179417,127.0302434,37.51299604
T_179206,127.0302631,37.51309605
T_174996,127.0303046,37.49254989
T_182213,127.0303137,37.4988879
T_172552,127.0303154,37.48412212
T_181302,127.03035,37.49317922
T_172553,127.030356,37.48395416
T_181303,127.0303728,37.49308334
T_182212,127.0303944,37.49867253
T_179438,127.0304815,37.51429914
T_174990,127.030513,37.49146858
T_179201,127.0306393,37.51433595
T_179468,127.0307447,37.49951181
T_174995,127.0307568,37.49157947
T_181299,127.0307787,37.49482284
T_179202,127.030806,37.51359701
T_181296,127.030827,37.49493023
T_179469,127.0308536,37.49956224
T_181241,127.0309088,37.51489697
T_181242,127.0309455,37.5148148
T_179205,127.0309608,37.51362927
T_172533,127.0309796,37.48943191
T_174991,127.0309842,37.49049089
T_172538,127.0310242,37.48929539
T_174994,127.0312239,37.49060776
T_181301,127.031224,37.49344688
T_180769,127.0312475,37.51264711
T_181233,127.0312546,37.51419607
T_181304,127.0312598,37.49335153
T_179563,127.0312843,37.49836322
T_181234,127.0313126,37.51407657
T_182291,127.031324,37.50026181
T_174992,127.0313453,37.48974889
T_179570,127.0313914,37.49839748
T_180778,127.0313987,37.51267716
T_181300,127.0314017,37.49400893
T_181295,127.0314782,37.49407217
T_172551,127.0314928,37.48428434
T_172554,127.03151,37.48411764
T_181731,127.0315511,37.5066767
T_174993,127.031594,37.48985292
T_174997,127.0315945,37.48922864
T_181237,127.0315976,37.51350797
T_181736,127.0316127,37.50653494
T_181238,127.0316307,37.51342602
T_181294,127.031747,37.49932591
T_178864,127.0317667,37.49025514
T_178861,127.0318078,37.4901422
T_180770,127.0318123,37.51143707
T_181291,127.0318231,37.49911165
T_174998,127.0318457,37.48933203
T_179564,127.0318711,37.49712651
T_181310,127.0318762,37.49301805
T_180777,127.0319604,37.51147333
T_181317,127.0319633,37.49304982
T_179569,127.0319761,37.49716317
T_174999,127.0319987,37.48837864
T_181240,127.0320313,37.51523794
T_181243,127.0320678,37.51515302
T_181306,127.0320948,37.49371325
T_181307,127.03213,37.49361597
T_180487,127.0322003,37.4898031
T_180488,127.032236,37.48967464
T_175004,127.0322491,37.48848345
T_178866,127.032315,37.48922383
T_179216,127.0323495,37.49203577
T_180771,127.0323704,37.51024156
T_181232,127.0323757,37.51454325
T_181316,127.0324351,37.49207597
T_181235,127.0324397,37.51442685
T_179565,127.0324571,37.49589144
T_180776,127.032521,37.51027182
T_175000,127.0325594,37.48719314
T_179568,127.032565,37.49593429
T_174262,127.0326209,37.48444354
T_178863,127.0326422,37.49051826
T_174264,127.032674,37.4842803
T_178862,127.032683,37.49040523
T_179871,127.0327361,37.51498602
T_181236,127.0327677,37.51387076
T_181239,127.0328081,37.51379111
T_175003,127.0328101,37.48728812
T_181312,127.0328207,37.49105795
T_179872,127.0328391,37.515028
T_182292,127.0328403,37.50061108
T_181315,127.0329069,37.49110189
T_180772,127.032929,37.50904486
T_181305,127.0329536,37.49397569
T_178865,127.0329837,37.48962991
T_181308,127.0329859,37.49387742
T_179566,127.0330436,37.49465544
T_181730,127.033058,37.50712042
T_180775,127.0330801,37.5090735
T_180486,127.0330853,37.49006023
T_181737,127.0331165,37.5069795
T_175001,127.0331259,37.48599123
T_180489,127.0331261,37.48994716
T_179873,127.0331262,37.5143081
T_179567,127.0331588,37.49469985
T_181313,127.0331847,37.49030237
T_181293,127.0331968,37.49976805
T_179881,127.0332241,37.51435129
T_181292,127.0332636,37.49956083
T_181314,127.0332734,37.49034526
T_174259,127.0333275,37.48495555
T_175002,127.033359,37.48609072
T_180773,127.0334899,37.5078433
T_180756,127.0335322,37.51490136
T_180757,127.0335895,37.51478355
T_179571,127.0336147,37.49345635
T_180774,127.0336415,37.50787039
T_175045,127.0336762,37.48494677
T_149792,127.0337268,37.50023857
T_181309,127.0337282,37.49350432
T_179924,127.033746,37.49026002
T_179879,127.0337973,37.49014925
T_179787,127.0338359,37.5002884
T_180752,127.0338443,37.51420838
T_180753,127.0338888,37.51412824
T_175044,127.0339133,37.48503293
T_174263,127.0339468,37.48405969
T_181182,127.0340629,37.50661178
T_179234,127.0341136,37.49432492
T_179235,127.0341448,37.4942295
T_179572,127.0341688,37.49229749
T_181187,127.0342223,37.50663744
T_178889,127.0342607,37.49953561
T_179575,127.0342741,37.49234605
T_174266,127.0342855,37.48413062
T_182164,127.0343049,37.48513079
T_181392,127.0343741,37.50751103
T_180493,127.0343929,37.499913
